# x, y, theta, v_l, v_r
5.11, 252.36, 1.508, 25.02, 25.02
5.13, 252.61, 1.508, 25.02, 25.02
5.14, 252.86, 1.508, 25.02, 25.02
5.16, 253.11, 1.508, 25.02, 25.02
5.17, 253.36, 1.508, 25.02, 25.02
5.19, 253.61, 1.508, 25.02, 25.02
5.21, 253.86, 1.508, 25.02, 25.02
5.22, 254.11, 1.508, 25.02, 25.02
5.24, 254.36, 1.508, 25.02, 25.02
5.25, 254.61, 1.508, 25.02, 25.02
5.27, 254.86, 1.508, 25.02, 25.02
5.28, 255.11, 1.508, 25.02, 25.02
5.30, 255.36, 1.508, 25.02, 25.02
5.31, 255.61, 1.508, 25.02, 25.02
5.33, 255.86, 1.508, 25.02, 25.02
5.35, 256.11, 1.508, 25.02, 25.02
5.36, 256.36, 1.508, 25.02, 25.02
5.38, 256.61, 1.508, 25.02, 25.02
5.39, 256.86, 1.508, 25.02, 25.02
5.41, 257.11, 1.508, 25.02, 25.02
5.42, 257.36, 1.508, 25.02, 25.02
5.44, 257.61, 1.508, 25.02, 25.02
5.46, 257.86, 1.508, 25.02, 25.02
5.47, 258.11, 1.508, 25.02, 25.02
5.49, 258.36, 1.508, 25.02, 25.02
5.50, 258.61, 1.508, 25.02, 25.02
5.52, 258.86, 1.508, 25.02, 25.02
5.53, 259.11, 1.508, 25.02, 25.02
5.55, 259.36, 1.508, 25.02, 25.02
5.57, 259.60, 1.508, 25.02, 25.02
5.58, 259.85, 1.508, 25.02, 25.02
5.60, 260.10, 1.508, 25.02, 25.02
5.61, 260.35, 1.508, 25.02, 25.02
5.63, 260.60, 1.508, 25.02, 25.02
5.64, 260.85, 1.508, 25.02, 25.02
5.66, 261.10, 1.508, 25.02, 25.02
5.67, 261.35, 1.508, 25.02, 25.02
5.69, 261.60, 1.508, 25.02, 25.02
5.71, 261.85, 1.508, 25.02, 25.02
5.72, 262.10, 1.508, 25.02, 25.02
5.74, 262.35, 1.508, 25.02, 25.02
5.75, 262.60, 1.508, 25.02, 25.02
5.77, 262.85, 1.508, 25.02, 25.02
5.78, 263.10, 1.508, 25.02, 25.02
5.80, 263.35, 1.508, 25.02, 25.02
5.82, 263.60, 1.508, 25.02, 25.02
5.83, 263.85, 1.508, 25.02, 25.02
5.85, 264.10, 1.508, 25.02, 25.02
5.86, 264.35, 1.508, 25.02, 25.02
5.88, 264.60, 1.508, 25.02, 25.02
5.89, 264.85, 1.508, 25.02, 25.02
5.91, 265.10, 1.508, 25.02, 25.02
5.92, 265.35, 1.508, 25.02, 25.02
5.94, 265.60, 1.508, 25.02, 25.02
5.96, 265.85, 1.508, 25.02, 25.02
5.97, 266.10, 1.508, 25.02, 25.02
5.99, 266.35, 1.508, 25.02, 25.02
6.00, 266.60, 1.508, 25.02, 25.02
6.02, 266.85, 1.508, 25.02, 25.02
